CourseTitle|CourseCode|Subterm|CreditHours|Instructor|CourseDays|TimeSlot|BuildingCode|Room|Comments
FYS in Dance|DNCE-1028-F-1|Year|10|John Jasperse|W|5:30 PM-7:30 PM|PAC|BESSI|First Year Studies
Dance Study (1-credit)|DNCE-4400-P-1|Fall|1|John Jasperse||-|||Reg for Comp through Dance Dep
Dance Study (3-credit)|DNCE-4400-P-3|Fall|3|John Jasperse||-|||Reg for Comp through Dance Dep
Dance Program - Two/Thirds|DNCE-4498-P-1|Fall|5|John Jasperse||-|||Reg for Comp through Dance Dep
Dance Third|DNCE-4499-P-1|Year|10|John Jasperse||-|||Reg for Comp through Dance Dep
FYS: The 2024 Presidential Election Inequalty,Climate Crisis,Far Right|ECON-1020-F-1|Year|10|Jamee Moudud|MW|9:00 AM-10:25 AM|WEST|104|First Year Studies
FYS: Political Economy of&nbsp;Environmt and Climate Justice|ECON-1029-F-1|Year|10|An Li|MR|11:05 AM-12:30 PM|SHEFF|01|First Year Studies
Legal and Political Foundations of Money, Finance, and the Economy|ECON-2067-L-1|Year|10|Jamee Moudud|MR|11:05 AM-12:30 PM|LIBR|PILLW|Open
Legal and Political Foundations of Money, Finance, and the Economy|ECON-2067-L-1|Year|10|Jamee Moudud|T|11:05 AM-12:00 PM|BATES|206|Group conference
Legal and Political Foundations of Money, Finance, and the Economy|ECON-2067-L-1|Year|10|Jamee Moudud|W|11:05 AM-12:00 PM|PAC|1|Group conference
Political Economy of Women|ECON-3048-R-1|Year|10|Kimberly Christensen|TR|3:35 PM-5:00 PM|ONLIN||Open
Research Methods in Economics|ECON-3508-R-1|Fall|5|An Li|TR|3:35 PM-5:00 PM|SC|101|Intermediate
Political Economy of Environment, Natural Resources,Economic Develop|ECON-3803-R-1|Spring|5|An Li|TR|3:35 PM-5:00 PM|SC|101|Intermediate
Workshop: Sustainability Solutions at Sarah Lawrence College|ENVI-2205-L-1|Year|2|Eric Leveau|T|9:30 AM-10:55 AM|LIBR|PILLW|Open
Indigenous Ecologies/Environmental Justice|ENVI-3116-R-1|Spring|5|Deanna Barenboim|TF|11:05 AM-12:30 PM|TITS|LR|Open
Migration and Climate Crisis|ENVI-3606-R-1|Fall|5|Deanna Barenboim|W|11:05 AM-1:00 PM|TITS|LR|Intermediate
Global Warming|ENVS-2070-L-1|Fall|5|Bernice Rosenzweig|R|11:05 AM-12:30 PM|SC|104|Group conference, meets weekly
Global Warming|ENVS-2070-L-1|Fall|5|Bernice Rosenzweig|W|7:00 PM-8:25 PM|SC|104|Group conference, meets weekly
Global Warming|ENVS-2070-L-1|Fall|5|Bernice Rosenzweig|T|7:00 PM-8:25 PM|SC|104|Group conference, meets weekly
Global Warming|ENVS-2070-L-1|Fall|5|Bernice Rosenzweig|M|7:00 PM-9:00 PM|SC|103|Open
Climate Resilient Futures|ENVS-2075-L-1|Spring|5|Bernice Rosenzweig|R|2:00 PM-3:25 PM|SC|104|Group conference, meets weekly
Climate Resilient Futures|ENVS-2075-L-1|Spring|5|Bernice Rosenzweig|R|11:05 AM-12:30 PM|SC|104|Group conference, meets weekly
Climate Resilient Futures|ENVS-2075-L-1|Spring|5|Bernice Rosenzweig|W|3:35 PM-5:00 PM|SC|103|Open
Geospatial Data Analysis|ENVS-3121-R-1|Fall|5|Bernice Rosenzweig|MW|3:35 PM-5:00 PM|SC|104|Open
Environmental Data|ENVS-3163-R-1|Spring|5|Bernice Rosenzweig|MR|7:00 PM-8:30 PM|SC|104|Open
FYS: Documentary Filmmaking: The Personal is Political|FILM-1023-F-1|Year|10|Damani Baker|M|10:00 AM-1:00 PM|HEIM|211|First Year Studies
FYS: Cinematography-An Introduction to Visualizing/ Producing a Film|FILM-1028-F-1|Year|10|Misael Sanchez|MW|9:30 AM-10:55 AM|HEIM|210|First Year Studies
Not For Children|FILM-2023-L-1|Spring|5|Robin Starbuck|W|2:00 PM-2:55 PM|HEIM|211|Group confernce
Not For Children|FILM-2023-L-1|Spring|5|Robin Starbuck|W|11:05 AM-12:00 PM|HEIM|211|Group confernce
Not For Children|FILM-2023-L-1|Spring|5|Robin Starbuck|W|10:00 AM-10:55 AM|HEIM|211|Group confernce
Not For Children|FILM-2023-L-1|Spring|5|Robin Starbuck|T|9:30 AM-12:30 PM|HEIM|135|Open
Producing and Pitching:Creative Producer In The Real World|FILM-2030-L-1|Spring|3|Heather Winters|M|11:05 AM-2:00 PM|HEIM|202|Open
Queer Feminist Praxis: Community Engagement and Digital Humanities|FILM-3073-R-1|Spring|5|Yeong Ran Kim|T|11:30 AM-1:30 PM|HEIM|210|Open
Queer/Trans/Digital|FILM-3079-R-1|Fall|3|Yeong Ran Kim|T|11:30 AM-1:30 PM|HEIM|111|Sophomores and above
Filmmaking Basics: Where to Start|FILM-3101-R-1|Spring|5|Rona Mark|R|11:05 AM-1:30 PM|HEIM|111|
Filmmaking Basics: Where to Start|FILM-3101-R-1|Spring|5|Rona Mark|T|11:05 AM-1:00 PM|HEIM|111|Open
Recording and Editing Sound for Film and Media|FILM-3108-R-1|Fall|2|Rosalie Kaplan|F|12:00 PM-2:00 PM|HEIM|210|Open
From Ideas to Postproduction|FILM-3117-R-1|Year|10|Jazmin Lopez|R|2:00 PM-5:00 PM|HEIM|111|Open
